ID,Democrat,ZWpoor,ZBpoor,Zincome,Zedu,Zagency,Zzerosum
3.00,0.00,-1.46541,-1.63959,-2.16744,-1.59546,-1.04542,1.58312
4.00,0.00,1.02504,0.64955,0.95717,-1.59546,1.48975,1.10337
5.00,0.00,1.02504,-1.63959,-2.16744,-1.59546,-0.79190,1.26329
6.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,-2.56652,-0.17597
7.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,-2.05948,-1.13547
8.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,0.22217,-0.33588
9.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,0.47568,-0.33588
10.00,0.00,0.19489,-0.87654,-2.16744,-1.59546,-1.55245,-0.33588
11.00,1.00,-0.63526,-0.11350,-2.16744,-1.59546,-0.03135,-0.81563
13.00,0.00,-1.46541,0.64955,-2.16744,-1.59546,-0.79190,1.10337
15.00,0.00,-1.46541,2.17564,-2.16744,-1.59546,-0.03135,0.14387
16.00,0.00,-0.63526,-0.87654,-1.95914,-1.59546,-0.53838,0.78354
17.00,0.00,0.19489,0.64955,-1.95914,-1.59546,-0.28487,0.30379
18.00,0.00,1.02504,0.64955,-1.95914,-1.59546,0.47568,0.46370
19.00,0.00,-0.63526,-0.87654,-1.75083,-1.59546,-0.53838,0.30379
20.00,0.00,-1.46541,0.64955,-1.54252,-1.59546,0.98272,0.14387
23.00,1.00,-0.63526,-0.87654,-1.33421,-1.59546,-0.03135,-0.33588
24.00,0.00,1.02504,-0.11350,-1.33421,-1.59546,1.23623,0.78354
28.00,1.00,-0.63526,-0.11350,-0.91760,-1.59546,1.48975,-1.13547
29.00,0.00,-1.46541,-1.63959,-0.70929,-1.59546,0.22217,-0.65572
30.00,0.00,-0.63526,-0.11350,-0.70929,-1.59546,-0.03135,0.46370
31.00,0.00,0.19489,-0.11350,-0.70929,-1.59546,0.98272,-0.17597
32.00,0.00,0.19489,0.64955,-0.70929,-1.59546,-0.53838,0.78354
33.00,0.00,0.19489,0.64955,-0.70929,-1.59546,0.72920,0.62362
34.00,1.00,-1.46541,-0.87654,-0.50098,-1.59546,-2.82003,0.14387
35.00,1.00,-0.63526,-0.87654,-0.50098,-1.59546,0.22217,-0.01605
36.00,0.00,1.02504,0.64955,-0.50098,-1.59546,-0.79190,-0.17597
37.00,0.00,2.68534,1.41259,-0.50098,-1.59546,-2.56652,1.10337
39.00,0.00,-1.46541,-1.63959,-0.08437,-1.59546,0.22217,-0.49580
40.00,0.00,-0.63526,-0.87654,-0.08437,-1.59546,0.98272,-0.49580
41.00,0.00,-0.63526,0.64955,-0.08437,-1.59546,-0.28487,-0.01605
43.00,0.00,1.02504,0.64955,-0.08437,-1.59546,0.22217,-0.81563
44.00,0.00,-0.63526,-0.87654,0.12394,-1.59546,-0.28487,0.94345
45.00,1.00,-0.63526,-0.87654,0.12394,-1.59546,1.48975,-1.13547
46.00,0.00,-1.46541,0.64955,0.12394,-1.59546,-2.82003,1.10337
47.00,0.00,-0.63526,-0.87654,0.33225,-1.59546,-1.55245,0.94345
48.00,0.00,-0.63526,-0.87654,0.33225,-1.59546,0.22217,-0.33588
49.00,0.00,0.19489,-0.11350,0.33225,-1.59546,-0.53838,-0.49580
50.00,1.00,0.19489,0.64955,0.33225,-1.59546,-1.55245,0.14387
51.00,1.00,0.19489,-0.11350,0.54055,-1.59546,0.22217,-1.13547
52.00,0.00,0.19489,-0.11350,0.54055,-1.59546,0.47568,0.78354
53.00,0.00,-0.63526,-0.87654,1.16548,-1.59546,0.98272,-0.97555
54.00,0.00,-1.46541,-1.63959,-2.16744,-0.88495,1.48975,-1.13547
55.00,0.00,-1.46541,-0.87654,-2.16744,-0.88495,-1.80597,0.62362
60.00,0.00,-0.63526,-0.87654,-2.16744,-0.88495,0.47568,-0.33588
61.00,1.00,-0.63526,-0.87654,-2.16744,-0.88495,0.47568,-0.33588
62.00,1.00,0.19489,-0.87654,-2.16744,-0.88495,0.22217,-1.13547
63.00,0.00,1.85519,-0.11350,-2.16744,-0.88495,-1.55245,1.10337
65.00,0.00,0.19489,0.64955,-2.16744,-0.88495,-0.53838,1.42320
68.00,1.00,1.85519,1.41259,-2.16744,-0.88495,0.47568,2.06287
70.00,0.00,-1.46541,2.17564,-2.16744,-0.88495,0.72920,2.22279
71.00,0.00,2.68534,2.17564,-2.16744,-0.88495,1.48975,-0.33588
72.00,0.00,2.68534,2.17564,-2.16744,-0.88495,1.48975,1.26329
74.00,0.00,2.68534,2.17564,-2.16744,-0.88495,1.48975,2.06287
75.00,0.00,0.19489,-0.11350,-1.95914,-0.88495,-0.03135,-0.33588
76.00,0.00,0.19489,-0.11350,-1.95914,-0.88495,1.23623,-1.13547
77.00,0.00,-0.63526,0.64955,-1.95914,-0.88495,-1.04542,-0.33588
78.00,1.00,1.85519,1.41259,-1.95914,-0.88495,-0.79190,-0.33588
79.00,0.00,1.85519,2.17564,-1.95914,-0.88495,-0.03135,2.54262
80.00,0.00,-1.46541,0.64955,-1.75083,-0.88495,-0.53838,0.30379
81.00,0.00,1.02504,0.64955,-1.75083,-0.88495,0.47568,0.30379
85.00,0.00,2.68534,0.64955,-1.54252,-0.88495,1.48975,2.86246
86.00,0.00,1.85519,2.17564,-1.54252,-0.88495,-0.79190,0.46370
88.00,0.00,-1.46541,-1.63959,-1.33421,-0.88495,0.47568,-1.13547
90.00,0.00,0.19489,-0.11350,-1.33421,-0.88495,-1.04542,0.94345
91.00,0.00,0.19489,0.64955,-1.33421,-0.88495,-0.53838,0.94345
92.00,0.00,-0.63526,1.41259,-1.33421,-0.88495,1.48975,-0.97555
93.00,0.00,-1.46541,-1.63959,-1.12591,-0.88495,-0.53838,-0.65572
94.00,0.00,1.02504,-1.63959,-1.12591,-0.88495,-1.04542,-0.33588
95.00,1.00,-0.63526,-0.87654,-1.12591,-0.88495,0.22217,-0.17597
97.00,0.00,0.19489,-0.11350,-1.12591,-0.88495,0.47568,-0.17597
98.00,0.00,-0.63526,0.64955,-1.12591,-0.88495,-0.03135,0.46370
99.00,0.00,1.02504,0.64955,-1.12591,-0.88495,-0.53838,0.30379
100.00,1.00,-1.46541,1.41259,-1.12591,-0.88495,-0.28487,-0.17597
101.00,0.00,1.02504,1.41259,-1.12591,-0.88495,-1.04542,0.78354
103.00,0.00,-1.46541,2.17564,-1.12591,-0.88495,-0.03135,0.46370
104.00,0.00,-1.46541,-1.63959,-0.91760,-0.88495,-1.55245,-0.33588
105.00,0.00,-0.63526,-0.87654,-0.91760,-0.88495,-1.04542,-0.33588
106.00,0.00,-0.63526,-0.87654,-0.91760,-0.88495,0.47568,-0.65572
107.00,0.00,0.19489,-0.87654,-0.91760,-0.88495,0.22217,0.30379
108.00,0.00,0.19489,-0.87654,-0.91760,-0.88495,0.98272,1.42320
109.00,1.00,1.02504,-0.87654,-0.91760,-0.88495,1.48975,-0.97555
110.00,0.00,0.19489,-0.11350,-0.91760,-0.88495,-1.55245,0.46370
111.00,0.00,0.19489,-0.11350,-0.91760,-0.88495,-0.53838,1.10337
113.00,1.00,0.19489,-0.11350,-0.91760,-0.88495,0.47568,-1.13547
114.00,0.00,0.19489,0.64955,-0.91760,-0.88495,-0.53838,-0.33588
117.00,0.00,1.02504,0.64955,-0.91760,-0.88495,0.22217,-0.33588
118.00,0.00,-1.46541,-1.63959,-0.70929,-0.88495,-2.56652,-1.13547
119.00,0.00,-1.46541,-1.63959,-0.70929,-0.88495,0.98272,-1.13547
120.00,0.00,2.68534,-1.63959,-0.70929,-0.88495,0.47568,0.62362
121.00,0.00,-1.46541,-0.87654,-0.70929,-0.88495,-0.53838,-0.33588
124.00,0.00,0.19489,-0.11350,-0.70929,-0.88495,0.47568,0.46370
125.00,1.00,0.19489,-0.11350,-0.70929,-0.88495,1.48975,-1.13547
126.00,0.00,0.19489,0.64955,-0.70929,-0.88495,0.22217,-0.97555
127.00,0.00,0.19489,0.64955,-0.70929,-0.88495,0.22217,-0.17597
128.00,0.00,1.02504,0.64955,-0.70929,-0.88495,0.22217,0.78354
129.00,1.00,0.19489,1.41259,-0.70929,-0.88495,-0.28487,-1.13547
130.00,0.00,0.19489,2.17564,-0.70929,-0.88495,1.48975,2.86246
132.00,0.00,-1.46541,-1.63959,-0.50098,-0.88495,-2.82003,-0.65572
134.00,0.00,-1.46541,-1.63959,-0.50098,-0.88495,-0.53838,-0.97555
135.00,1.00,-1.46541,-1.63959,-0.50098,-0.88495,0.22217,-0.81563
136.00,0.00,2.68534,-1.63959,-0.50098,-0.88495,-3.58058,-1.13547
137.00,0.00,-1.46541,-0.87654,-0.50098,-0.88495,-0.28487,0.62362
138.00,0.00,-0.63526,-0.87654,-0.50098,-0.88495,-2.05948,-0.01605
139.00,0.00,-0.63526,-0.87654,-0.50098,-0.88495,-0.53838,0.78354
140.00,0.00,-0.63526,-0.87654,-0.50098,-0.88495,-0.53838,0.78354
141.00,1.00,-0.63526,-0.87654,-0.50098,-0.88495,0.22217,-0.33588
142.00,0.00,-0.63526,-0.87654,-0.50098,-0.88495,0.22217,0.94345
143.00,1.00,-0.63526,-0.87654,-0.50098,-0.88495,1.23623,-1.13547
144.00,1.00,-0.63526,-0.87654,-0.50098,-0.88495,1.23623,-0.81563
145.00,0.00,1.02504,-0.87654,-0.50098,-0.88495,-0.53838,-0.17597
146.00,0.00,1.02504,0.64955,-0.50098,-0.88495,-1.04542,-0.65572
147.00,0.00,1.02504,0.64955,-0.50098,-0.88495,-0.03135,0.46370
148.00,1.00,1.02504,0.64955,-0.50098,-0.88495,0.22217,-0.33588
149.00,0.00,1.02504,0.64955,-0.50098,-0.88495,0.22217,0.30379
150.00,0.00,0.19489,2.17564,-0.50098,-0.88495,-0.53838,-0.17597
151.00,1.00,2.68534,2.17564,-0.50098,-0.88495,1.48975,2.86246
152.00,1.00,-1.46541,-1.63959,-0.29268,-0.88495,-2.56652,0.62362
153.00,0.00,-1.46541,-1.63959,-0.29268,-0.88495,0.22217,-0.33588
154.00,0.00,-1.46541,-1.63959,-0.29268,-0.88495,0.47568,-0.01605
155.00,0.00,-1.46541,-1.63959,-0.29268,-0.88495,0.47568,0.46370
156.00,0.00,-0.63526,-0.87654,-0.29268,-0.88495,-0.79190,-1.13547
157.00,0.00,-0.63526,-0.87654,-0.29268,-0.88495,-0.79190,-0.49580
158.00,0.00,-0.63526,-0.87654,-0.29268,-0.88495,-0.79190,-0.17597
160.00,0.00,1.02504,-0.87654,-0.29268,-0.88495,0.47568,1.42320
161.00,0.00,-1.46541,-0.11350,-0.29268,-0.88495,0.47568,0.46370
162.00,0.00,0.19489,-0.11350,-0.29268,-0.88495,-1.29893,-0.49580
163.00,0.00,0.19489,-0.11350,-0.29268,-0.88495,0.47568,-0.33588
164.00,1.00,-0.63526,0.64955,-0.29268,-0.88495,0.72920,-1.13547
165.00,1.00,-0.63526,0.64955,-0.29268,-0.88495,0.72920,-0.17597
166.00,1.00,0.19489,0.64955,-0.29268,-0.88495,1.48975,-1.13547
167.00,0.00,1.02504,0.64955,-0.29268,-0.88495,-0.53838,0.46370
168.00,0.00,1.02504,0.64955,-0.29268,-0.88495,0.47568,-1.13547
169.00,0.00,1.02504,0.64955,-0.29268,-0.88495,0.47568,-0.33588
171.00,0.00,-1.46541,-1.63959,-0.08437,-0.88495,1.48975,-1.13547
172.00,0.00,-0.63526,-0.87654,-0.08437,-0.88495,-0.03135,-0.65572
173.00,1.00,-0.63526,-0.11350,-0.08437,-0.88495,0.98272,-1.13547
176.00,0.00,1.02504,0.64955,-0.08437,-0.88495,-1.04542,0.14387
177.00,0.00,1.02504,0.64955,-0.08437,-0.88495,-0.03135,0.46370
178.00,0.00,1.02504,0.64955,-0.08437,-0.88495,0.22217,-1.13547
179.00,0.00,1.02504,0.64955,-0.08437,-0.88495,0.22217,1.26329
180.00,0.00,1.02504,0.64955,-0.08437,-0.88495,0.47568,-1.13547
181.00,1.00,1.02504,0.64955,-0.08437,-0.88495,1.48975,-1.13547
182.00,0.00,1.85519,2.17564,-0.08437,-0.88495,-0.03135,0.78354
183.00,0.00,-1.46541,-1.63959,0.12394,-0.88495,-0.53838,-1.13547
184.00,1.00,-1.46541,-1.63959,0.12394,-0.88495,1.48975,-1.13547
185.00,0.00,-0.63526,-0.87654,0.12394,-0.88495,-1.80597,0.94345
186.00,0.00,-0.63526,-0.87654,0.12394,-0.88495,-1.55245,0.14387
187.00,0.00,-0.63526,-0.87654,0.12394,-0.88495,-0.53838,-0.65572
188.00,0.00,-0.63526,-0.87654,0.12394,-0.88495,-0.53838,0.78354
189.00,0.00,-0.63526,-0.87654,0.12394,-0.88495,-0.03135,0.62362
190.00,0.00,-0.63526,-0.87654,0.12394,-0.88495,0.22217,0.78354
191.00,1.00,-0.63526,-0.87654,0.12394,-0.88495,0.47568,-1.13547
192.00,0.00,0.19489,-0.11350,0.12394,-0.88495,-0.53838,-0.81563
193.00,0.00,0.19489,-0.11350,0.12394,-0.88495,0.98272,-0.81563
195.00,0.00,0.19489,0.64955,0.12394,-0.88495,-0.53838,1.26329
196.00,0.00,0.19489,0.64955,0.12394,-0.88495,0.22217,-1.13547
198.00,1.00,1.02504,0.64955,0.12394,-0.88495,0.22217,1.90296
199.00,1.00,1.02504,0.64955,0.12394,-0.88495,1.23623,-1.13547
201.00,1.00,0.19489,1.41259,0.12394,-0.88495,1.48975,-1.13547
202.00,1.00,-1.46541,-1.63959,0.33225,-0.88495,1.48975,-1.13547
203.00,0.00,2.68534,-1.63959,0.33225,-0.88495,1.48975,2.86246
204.00,0.00,-0.63526,-0.87654,0.33225,-0.88495,-1.29893,-0.33588
206.00,0.00,-0.63526,-0.87654,0.33225,-0.88495,0.47568,-1.13547
209.00,0.00,-1.46541,-0.11350,0.33225,-0.88495,0.22217,1.90296
210.00,0.00,1.02504,0.64955,0.33225,-0.88495,-0.53838,0.62362
211.00,0.00,0.19489,1.41259,0.33225,-0.88495,-1.80597,0.46370
212.00,0.00,1.85519,1.41259,0.33225,-0.88495,-1.55245,2.86246
213.00,0.00,1.02504,2.17564,0.33225,-0.88495,0.98272,1.58312
215.00,0.00,-1.46541,-1.63959,0.54055,-0.88495,0.47568,-1.13547
216.00,0.00,-1.46541,-1.63959,0.54055,-0.88495,1.23623,-0.97555
217.00,0.00,-1.46541,-0.87654,0.54055,-0.88495,-0.79190,-0.01605
218.00,0.00,-0.63526,-0.87654,0.54055,-0.88495,-0.79190,1.26329
219.00,0.00,-0.63526,-0.87654,0.54055,-0.88495,-0.53838,-0.01605
220.00,0.00,-0.63526,-0.87654,0.54055,-0.88495,1.23623,-1.13547
221.00,1.00,0.19489,-0.11350,0.54055,-0.88495,0.72920,-0.65572
222.00,0.00,0.19489,0.64955,0.54055,-0.88495,-2.56652,-1.13547
223.00,1.00,0.19489,0.64955,0.54055,-0.88495,-0.28487,-0.01605
224.00,0.00,1.02504,0.64955,0.54055,-0.88495,1.23623,-1.13547
225.00,0.00,-0.63526,-0.87654,0.74886,-0.88495,1.48975,0.46370
226.00,0.00,0.19489,-0.11350,0.74886,-0.88495,-1.29893,0.78354
227.00,0.00,0.19489,-0.11350,0.74886,-0.88495,0.72920,-0.49580
228.00,0.00,-0.63526,0.64955,0.74886,-0.88495,0.22217,2.06287
229.00,1.00,0.19489,0.64955,0.74886,-0.88495,-0.03135,0.94345
230.00,0.00,1.02504,0.64955,0.74886,-0.88495,-0.79190,-0.33588
232.00,0.00,-0.63526,2.17564,0.74886,-0.88495,-2.05948,2.70254
233.00,0.00,-1.46541,-1.63959,0.95717,-0.88495,1.48975,-0.81563
234.00,0.00,-0.63526,-0.87654,0.95717,-0.88495,0.47568,-1.13547
236.00,0.00,1.85519,1.41259,0.95717,-0.88495,1.48975,-0.65572
237.00,0.00,-1.46541,-1.63959,1.16548,-0.88495,-3.32707,0.30379
238.00,0.00,-1.46541,-1.63959,1.16548,-0.88495,1.48975,-0.17597
239.00,0.00,-0.63526,-0.87654,1.16548,-0.88495,-0.28487,-0.17597
240.00,1.00,-0.63526,-0.87654,1.16548,-0.88495,0.47568,-1.13547
241.00,1.00,-0.63526,-0.11350,1.16548,-0.88495,0.47568,1.10337
243.00,1.00,-0.63526,1.41259,1.16548,-0.88495,0.72920,-1.13547
244.00,0.00,-1.46541,-1.63959,1.37378,-0.88495,-1.29893,0.46370
245.00,0.00,-1.46541,-1.63959,1.58209,-0.88495,-2.82003,1.42320
246.00,0.00,-0.63526,-0.87654,1.58209,-0.88495,-2.56652,2.22279
247.00,0.00,-0.63526,-0.11350,1.58209,-0.88495,0.98272,-0.17597
248.00,0.00,-1.46541,1.41259,1.58209,-0.88495,-0.53838,0.14387
249.00,0.00,-0.63526,0.64955,1.79040,-0.88495,-0.28487,-0.17597
250.00,1.00,2.68534,2.17564,-0.50098,-0.17444,1.48975,-1.13547
251.00,0.00,-0.63526,-0.87654,0.95717,-0.17444,-1.04542,0.30379
252.00,0.00,-1.46541,-1.63959,-2.16744,-0.17444,-0.03135,-0.97555
254.00,0.00,-0.63526,-0.87654,-2.16744,-0.17444,0.47568,-0.33588
255.00,0.00,0.19489,-0.87654,-2.16744,-0.17444,-0.79190,1.26329
258.00,0.00,0.19489,0.64955,-2.16744,-0.17444,1.23623,-1.13547
259.00,0.00,0.19489,0.64955,-2.16744,-0.17444,1.23623,0.14387
262.00,1.00,0.19489,-0.11350,-1.95914,-0.17444,-0.03135,-0.65572
263.00,1.00,-0.63526,0.64955,-1.95914,-0.17444,0.72920,-0.81563
265.00,0.00,-0.63526,-0.87654,-1.75083,-0.17444,-0.79190,1.58312
267.00,1.00,-0.63526,0.64955,-1.54252,-0.17444,-1.04542,-0.01605
268.00,1.00,1.85519,0.64955,-1.54252,-0.17444,-0.03135,-0.33588
269.00,1.00,1.02504,1.41259,-1.54252,-0.17444,0.22217,-0.81563
270.00,0.00,1.85519,1.41259,-1.54252,-0.17444,1.48975,-1.13547
271.00,0.00,-0.63526,-0.11350,-1.33421,-0.17444,0.72920,0.30379
273.00,0.00,0.19489,0.64955,-1.33421,-0.17444,-1.04542,1.10337
275.00,0.00,0.19489,0.64955,-1.33421,-0.17444,1.48975,0.30379
276.00,0.00,1.02504,0.64955,-1.33421,-0.17444,0.98272,-0.97555
277.00,1.00,-1.46541,-1.63959,-1.12591,-0.17444,0.47568,-1.13547
278.00,0.00,0.19489,-0.11350,-1.12591,-0.17444,-0.79190,-0.17597
279.00,0.00,0.19489,-0.11350,-1.12591,-0.17444,0.22217,-1.13547
280.00,1.00,1.85519,1.41259,-1.12591,-0.17444,0.22217,-0.01605
281.00,0.00,0.19489,-0.11350,-0.91760,-0.17444,0.47568,0.46370
282.00,0.00,-0.63526,0.64955,-0.91760,-0.17444,0.47568,1.42320
283.00,1.00,1.02504,0.64955,-0.91760,-0.17444,-0.03135,-0.81563
284.00,0.00,1.02504,0.64955,-0.91760,-0.17444,0.72920,0.62362
285.00,0.00,-0.63526,1.41259,-0.91760,-0.17444,0.47568,0.14387
286.00,0.00,1.02504,1.41259,-0.91760,-0.17444,0.47568,0.78354
287.00,0.00,0.19489,-1.63959,-0.70929,-0.17444,-1.80597,0.14387
288.00,1.00,-0.63526,-0.87654,-0.70929,-0.17444,0.22217,-1.13547
289.00,0.00,-0.63526,-0.11350,-0.70929,-0.17444,1.48975,1.26329
290.00,0.00,0.19489,-0.11350,-0.70929,-0.17444,-0.79190,0.30379
291.00,0.00,0.19489,-0.11350,-0.70929,-0.17444,0.47568,0.30379
292.00,1.00,-0.63526,0.64955,-0.70929,-0.17444,0.22217,-0.97555
293.00,1.00,-0.63526,0.64955,-0.70929,-0.17444,0.47568,0.46370
294.00,0.00,0.19489,0.64955,-0.70929,-0.17444,-0.53838,-0.33588
295.00,0.00,0.19489,0.64955,-0.70929,-0.17444,0.22217,0.14387
296.00,1.00,0.19489,0.64955,-0.70929,-0.17444,0.47568,-1.13547
297.00,0.00,0.19489,0.64955,-0.70929,-0.17444,1.23623,-0.49580
298.00,0.00,1.02504,1.41259,-0.70929,-0.17444,0.98272,-0.17597
299.00,1.00,-1.46541,-1.63959,-0.50098,-0.17444,-0.53838,-1.13547
300.00,0.00,-1.46541,-1.63959,-0.50098,-0.17444,-0.03135,-1.13547
301.00,0.00,-0.63526,-0.87654,-0.50098,-0.17444,-1.04542,-0.17597
303.00,1.00,0.19489,-0.11350,-0.50098,-0.17444,0.22217,0.30379
304.00,1.00,0.19489,-0.11350,-0.50098,-0.17444,0.72920,0.62362
305.00,0.00,0.19489,-0.11350,-0.50098,-0.17444,0.98272,-0.65572
306.00,0.00,-0.63526,0.64955,-0.50098,-0.17444,0.47568,0.30379
307.00,0.00,0.19489,0.64955,-0.50098,-0.17444,-0.53838,-0.33588
308.00,1.00,0.19489,0.64955,-0.50098,-0.17444,0.22217,-0.33588
310.00,0.00,1.02504,0.64955,-0.50098,-0.17444,0.72920,-0.65572
311.00,0.00,1.02504,0.64955,-0.50098,-0.17444,0.98272,-0.33588
312.00,0.00,1.02504,1.41259,-0.50098,-0.17444,0.72920,-0.17597
313.00,1.00,-1.46541,-1.63959,-0.29268,-0.17444,-1.04542,-0.01605
314.00,0.00,-1.46541,-1.63959,-0.29268,-0.17444,0.22217,0.30379
315.00,0.00,-1.46541,-1.63959,-0.29268,-0.17444,0.22217,0.30379
316.00,1.00,-1.46541,-1.63959,-0.29268,-0.17444,0.47568,0.30379
317.00,0.00,-1.46541,-1.63959,-0.29268,-0.17444,0.72920,-1.13547
318.00,1.00,-0.63526,-0.87654,-0.29268,-0.17444,0.22217,-1.13547
319.00,0.00,-0.63526,-0.87654,-0.29268,-0.17444,0.47568,-0.49580
320.00,1.00,-0.63526,-0.87654,-0.29268,-0.17444,0.72920,-1.13547
321.00,0.00,-0.63526,-0.87654,-0.29268,-0.17444,1.48975,-1.13547
322.00,0.00,-0.63526,-0.11350,-0.29268,-0.17444,0.47568,-1.13547
323.00,0.00,0.19489,0.64955,-0.29268,-0.17444,-0.79190,1.10337
324.00,0.00,1.02504,1.41259,-0.29268,-0.17444,1.48975,-1.13547
325.00,0.00,-0.63526,-0.87654,-0.08437,-0.17444,-1.55245,-0.81563
326.00,0.00,-0.63526,-0.87654,-0.08437,-0.17444,-1.55245,-0.81563
327.00,0.00,-0.63526,-0.87654,-0.08437,-0.17444,-0.03135,-0.97555
328.00,0.00,0.19489,-0.11350,-0.08437,-0.17444,-0.28487,-0.33588
329.00,1.00,-0.63526,0.64955,-0.08437,-0.17444,1.48975,-1.13547
330.00,0.00,1.02504,0.64955,-0.08437,-0.17444,-1.55245,-0.49580
331.00,0.00,1.02504,0.64955,-0.08437,-0.17444,-1.55245,-0.01605
332.00,0.00,1.02504,0.64955,-0.08437,-0.17444,-1.55245,0.46370
333.00,0.00,1.02504,0.64955,-0.08437,-0.17444,0.22217,-0.01605
334.00,0.00,-1.46541,-1.63959,0.12394,-0.17444,1.48975,-1.13547
336.00,0.00,-0.63526,-0.87654,0.12394,-0.17444,-0.28487,-0.97555
